naziv_kluba,naziv_protivnika,broj_dodavanja,procenat_preciznosti_dodavanja,kljucna_dodavanja,progresivna_dodavanja
Arsenal,Sheffield Utd,613,88.5,8,57
Arsenal,Newcastle Utd,431,82.1,11,52
Arsenal,Burnley,507,82.6,12,73
Arsenal,Brentford,442,78.4,11,50
Arsenal,Wolves,567,86.6,16,77
Arsenal,Luton Town,524,82.3,20,50
Arsenal,Aston Villa,410,82.5,9,53
Arsenal,Brighton,487,88.1,19,54
Arsenal,Liverpool,360,77.3,9,44
Arsenal,West Ham,703,88.3,23,118
Aston Villa,Nott'ham Forest,628,88.2,13,86
Aston Villa,Fulham,441,82.0,9,30
Aston Villa,Tottenham,349,84.1,12,30
Aston Villa,Bournemouth,409,77.6,8,42
Aston Villa,Manchester City,388,83.1,18,38
Aston Villa,Arsenal,228,71.3,6,18
Aston Villa,Brentford,482,83.5,12,56
Aston Villa,Sheffield Utd,604,85.3,11,76
Aston Villa,Manchester Utd,404,79.4,8,36
Aston Villa,Burnley,413,82.8,14,47
Manchester City,Bournemouth,693,91.4,20,65
Manchester City,Chelsea,504,88.0,13,61
Manchester City,Liverpool,573,88.2,12,58
Manchester City,Tottenham,527,85.1,16,33
Manchester City,Aston Villa,470,85.8,2,29
Manchester City,Luton Town,542,85.2,11,35
Manchester City,Crystal Palace,783,90.4,15,64
Manchester City,Everton,733,89.3,15,47
Manchester City,Sheffield Utd,959,93.3,14,63
Tottenham,Chelsea,278,78.3,5,24
Tottenham,Wolves,575,86.6,6,44
Tottenham,Aston Villa,598,87.9,16,58
Tottenham,Manchester City,426,83.7,7,24
Tottenham,West Ham,740,89.0,19,106
Tottenham,Newcastle Utd,492,84.2,20,53
Tottenham,Nott'ham Forest,507,87.3,10,50
Tottenham,Everton,522,83.5,11,35
Tottenham,Brighton,491,82.2,16,69
Tottenham,Bournemouth,378,79.9,9,36
West Ham,Brentford,289,68.0,10,30
West Ham,Nott'ham Forest,464,81.8,11,53
West Ham,Burnley,393,75.3,9,29
West Ham,Crystal Palace,477,77.9,7,57
West Ham,Tottenham,201,69.3,5,20
West Ham,Fulham,383,81.0,6,29
West Ham,Wolves,370,78.2,10,44
West Ham,Manchester Utd,272,76.2,6,34
West Ham,Arsenal,196,67.1,2,10
West Ham,Brighton,332,78.1,3,25
Brighton,Everton,807,88.3,5,73
Brighton,Sheffield Utd,568,85.5,7,41
Brighton,Nott'ham Forest,492,84.8,8,43
Brighton,Chelsea,609,87.4,15,85
Brighton,Brentford,549,85.6,13,60
Brighton,Burnley,744,88.6,22,100
Brighton,Arsenal,511,88.7,6,28
Brighton,Crystal Palace,715,89.9,13,63
Brighton,Tottenham,396,81.5,8,28
Brighton,West Ham,826,91.3,18,70
Manchester Utd,Fulham,373,76.7,8,40
Manchester Utd,Luton Town,531,83.6,10,62
Manchester Utd,Everton,363,75.5,8,25
Manchester Utd,Newcastle Utd,297,72.8,4,25
Manchester Utd,Chelsea,361,80.8,21,40
Manchester Utd,Bournemouth,591,82.9,15,73
Manchester Utd,Liverpool,224,69.8,4,15
Manchester Utd,West Ham,569,84.2,7,56
Manchester Utd,Aston Villa,330,75.5,9,24
Manchester Utd,Nott'ham Forest,430,79.8,10,44
Newcastle Utd,Arsenal,295,78.0,9,27
Newcastle Utd,Bournemouth,396,79.2,4,36
Newcastle Utd,Chelsea,439,83.9,10,43
Newcastle Utd,Manchester Utd,457,81.9,17,62
Newcastle Utd,Everton,480,82.8,9,34
Newcastle Utd,Tottenham,374,81.5,8,39
Newcastle Utd,Fulham,663,88.2,23,89
Newcastle Utd,Luton Town,501,81.1,12,45
Newcastle Utd,Nott'ham Forest,477,82.7,11,66
Newcastle Utd,Liverpool,282,75.0,4,20
Chelsea,Tottenham,452,83.7,14,33
Chelsea,Manchester City,398,84.1,9,29
Chelsea,Newcastle Utd,369,83.7,4,22
Chelsea,Brighton,258,77.5,4,18
Chelsea,Manchester Utd,468,85.6,11,24
Chelsea,Everton,638,85.9,13,66
Chelsea,Sheffield Utd,761,89.4,10,66
Chelsea,Wolves,554,86.0,10,60
Chelsea,Crystal Palace,595,87.9,8,28
Chelsea,Luton Town,357,81.9,10,23
Wolves,Sheffield Utd,440,80.6,8,25
Wolves,Tottenham,390,80.7,11,37
Wolves,Fulham,348,75.3,8,17
Wolves,Arsenal,398,79.6,4,17
Wolves,Burnley,393,78.4,6,28
Wolves,Nott'ham Forest,605,82.9,7,44
Wolves,West Ham,477,82.0,12,49
Wolves,Chelsea,200,64.7,8,25
Wolves,Brentford,319,73.2,9,26
Wolves,Everton,441,79.3,9,44
Fulham,Manchester Utd,280,69.3,12,28
Fulham,Aston Villa,434,82.4,8,28
Fulham,Wolves,569,82.8,8,53
Fulham,Liverpool,309,72.2,7,36
Fulham,Nott'ham Forest,639,86.4,10,64
Fulham,West Ham,708,88.3,14,46
Fulham,Newcastle Utd,238,75.6,5,21
Fulham,Burnley,633,83.3,14,52
Fulham,Bournemouth,490,81.9,5,58
Fulham,Arsenal,355,79.6,10,28
Crystal Palace,Burnley,230,71.4,4,13
Crystal Palace,Everton,597,84.0,10,50
Crystal Palace,Luton Town,464,78.4,14,41
Crystal Palace,West Ham,366,72.2,4,31
Crystal Palace,Bournemouth,466,81.8,14,34
Crystal Palace,Liverpool,130,56.5,7,18
Crystal Palace,Manchester City,232,74.8,3,11
Crystal Palace,Brighton,326,77.1,9,25
Crystal Palace,Chelsea,307,78.1,10,28
Crystal Palace,Brentford,386,78.6,13,48
Nott'ham Forest,Aston Villa,180,67.7,4,12
Nott'ham Forest,West Ham,384,79.5,8,34
Nott'ham Forest,Brighton,408,78.9,14,47
Nott'ham Forest,Everton,502,78.6,9,42
Nott'ham Forest,Fulham,349,80.4,2,27
Nott'ham Forest,Wolves,228,66.9,6,23
Nott'ham Forest,Tottenham,197,65.7,10,33
Nott'ham Forest,Bournemouth,181,61.8,9,24
Nott'ham Forest,Newcastle Utd,282,78.1,11,23
Nott'ham Forest,Manchester Utd,321,75.0,6,27
Brentford,West Ham,460,78.0,9,54
Brentford,Liverpool,277,73.3,12,36
Brentford,Arsenal,200,63.9,7,23
Brentford,Luton Town,534,82.0,12,44
Brentford,Brighton,281,71.9,4,10
Brentford,Sheffield Utd,406,76.3,5,30
Brentford,Aston Villa,182,63.0,2,22
Brentford,Wolves,504,78.5,11,66
Brentford,Crystal Palace,434,77.9,7,46
Everton,Brighton,149,62.3,4,13
Everton,Crystal Palace,256,71.7,6,22
Everton,Manchester Utd,375,75.3,16,49
Everton,Nott'ham Forest,250,61.1,4,47
Everton,Newcastle Utd,258,71.3,15,25
Everton,Chelsea,186,61.8,4,22
Everton,Burnley,267,71.4,6,26
Everton,Tottenham,299,73.6,12,44
Everton,Manchester City,228,70.8,5,12
Everton,Wolves,386,77.5,8,44
Luton Town,Liverpool,150,56.6,4,21
Luton Town,Manchester Utd,269,75.8,8,21
Luton Town,Crystal Palace,272,71.4,6,26
Luton Town,Brentford,206,65.6,3,20
Luton Town,Arsenal,207,64.1,5,19
Luton Town,Manchester City,245,71.4,3,24
Luton Town,Newcastle Utd,240,71.9,13,25
Luton Town,Sheffield Utd,290,73.8,9,22
Luton Town,Chelsea,378,79.1,11,44
Burnley,Crystal Palace,531,81.3,15,44
Burnley,Arsenal,282,77.5,6,24
Burnley,West Ham,429,80.6,8,27
Burnley,Sheffield Utd,502,81.6,16,73
Burnley,Wolves,362,75.3,6,26
Burnley,Brighton,237,71.4,4,25
Burnley,Everton,487,82.0,11,51
Burnley,Fulham,292,73.0,7,23
Burnley,Liverpool,205,62.7,7,22
Burnley,Aston Villa,188,68.4,6,14
Sheffield Utd,Wolves,223,65.2,7,30
Sheffield Utd,Brighton,324,77.5,6,28
Sheffield Utd,Bournemouth,298,65.6,8,36
Sheffield Utd,Burnley,253,70.7,5,17
Sheffield Utd,Liverpool,108,46.2,3,12
Sheffield Utd,Brentford,267,71.0,8,29
Sheffield Utd,Chelsea,150,61.0,5,16
Sheffield Utd,Aston Villa,132,61.4,4,11
Sheffield Utd,Luton Town,284,69.8,12,23
Sheffield Utd,Manchester City,193,74.5,3,6
Bournemouth,Manchester City,353,85.1,4,19
Bournemouth,Newcastle Utd,360,76.9,14,27
Bournemouth,Sheffield Utd,404,74.4,18,41
Bournemouth,Aston Villa,219,68.7,13,28
Bournemouth,Crystal Palace,287,72.3,10,28
Bournemouth,Manchester Utd,228,69.3,10,27
Bournemouth,Nott'ham Forest,467,80.8,14,67
Bournemouth,Fulham,351,78.3,10,34
Bournemouth,Tottenham,382,81.8,17,43
